CIRCUMSTANCES,COMMENT,DEATH DESCRIPTION,CLASSIFICATION,Activity,Place?,% Classified,24.84%
gang back heade,,"gang back heade, ",,,,,
narc?,,"narc?, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
in projects,,"in projects, ",,,,,
narcotics,,"narcotics, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
,,", ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
argu re crack,,"argu re crack, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
shot in house,v. 187 suspect,"shot in house, v. 187 suspect",,,,,
Massage parlor,,"Massage parlor, ",,,,,
homeless,at camp,"homeless, at camp",,,,,
sus 801,in car,"sus 801, in car",,,,,
pins with auto,,"pins with auto, ",,,,,
homeless beef,,"homeless beef, ",,,,,
gang driveby,,"gang driveby, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
driveby August Donnell shot,,"driveby August Donnell shot, ",,,,,
in strret,,"in strret, ",,,,,
as got in auto,,"as got in auto, ",,,,,
at rap show,,"at rap show, ",,,,,
ocean beach,,"ocean beach, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
narcotics,had baggie in hand,"narcotics, had baggie in hand",,,,,
cop killed,,"cop killed, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
at Party,,"at Party, ",,,,,
shootout,,"shootout, ",,,,,
surrounded,shot nine times,"surrounded, shot nine times",,,,,
unknown,,"unknown, ",Unclassified,,,,
argument,,"argument, ",,,,,
had drugs inhand,,"had drugs inhand, ",,,,,
argu 3 bms,,"argu 3 bms, ",,,,,
gangs,,"gangs, ",,,,,
sitting in car,,"sitting in car, ",,,,,
family beef,bros in law,"family beef, bros in law",,,,,
in front of store,,"in front of store, ",,,,,
gang get in car,,"gang get in car, ",,,,,
gang,assassination,"gang, assassination",,,,,
taken to Meh,,"taken to Meh, ",,,,,
approaches trk,,"approaches trk, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
at party,,"at party, ",,,,,
on street,,"on street, ",,,,,
,,", ",Unclassified,,,,
saw too much,,"saw too much, ",,,,,
projects dupe,,"projects dupe, ",,,,,
gay? motel,bitten nuts,"gay? motel, bitten nuts",,,,,
Oakdal gang,donnel shot in 94?,"Oakdal gang, donnel shot in 94?",,,,,
found in park,,"found in park, ",,,,,
employee,,"employee, ",,,,,
parking lot,,"parking lot, ",,,,,
in str by hotel,,"in str by hotel, ",,,,,
not the dad,means?,"not the dad, means?",,,,,
in car,,"in car, ",,,,,
triangle,,"triangle, ",,,,,
unknown in car,,"unknown in car, ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
at dance,,"at dance, ",,,,,
shaken?,,"shaken?, ",,,,,
found in Park,,"found in Park, ",,,,,
helped wit 801,,"helped wit 801, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
in street,girl can Id,"in street, girl can Id",,,,,
in street,sus seen,"in street, sus seen",,,,,
Basket b game,,"Basket b game, ",,,,,
ran up to car,sus seen?,"ran up to car, sus seen?",,,,,
found on sidewal,,"found on sidewal, ",,,,,
found in street,,"found in street, ",,,,,
in street,,"in street, ",,,,,
boy girl friend?,,"boy girl friend?, ",,,,,
gang fed snitchh?,,"gang fed snitchh?, ",,,,,
knocked to ground,,"knocked to ground, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
shot homeless,,"shot homeless, ",,,,,
strangle in debris box,,"strangle in debris box, ",,,,,
over honda m/s,,"over honda m/s, ",,,,,
over honda m/s,,"over honda m/s, ",,,,,
gay or burg?,tied up wi tape,"gay or burg?, tied up wi tape",,,,,
argument,,"argument, ",,,,,
bad blood,,"bad blood, ",,,,,
in street confront,,"in street confront, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
byNortenos,,"byNortenos, ",,,,,
in hotel,didn't live there,"in hotel, didn't live there",,,,,
sus 801,,"sus 801, ",,,,,
old argument,,"old argument, ",,,,,
v. had slapped,sus cousin,"v. had slapped, sus cousin",,,,,
in street,sus seen,"in street, sus seen",,,,,
fight assault?,,"fight assault?, ",,,,,
run over by,escaping H&R,"run over by, escaping H&R",,,,,
gangs fighting,,"gangs fighting, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
s calls himout,,"s calls himout, ",,,,,
street confront,,"street confront, ",,,,,
shoots girls mom,,"shoots girls mom, ",,,,,
ex girl,,"ex girl, ",,,,,
in street,sus seen,"in street, sus seen",,,,,
from behind,sus seen?,"from behind, sus seen?",,,,,
gang in carr,,"gang in carr, ",,,,,
found in trunk,,"found in trunk, ",,,,,
loud argument,,"loud argument, ",,,,,
shot in street,,"shot in street, ",,,,,
met in bar,,"met in bar, ",,,,,
retaliation,,"retaliation, ",,,,,
sus 801,,"sus 801, ",,,,,
over money,,"over money, ",,,,,
unknown,back of head,"unknown, back of head",Unclassified,,,,
v. used as shield,,"v. used as shield, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
ran into projects,sus seen,"ran into projects, sus seen",,,,,
iln hotel,,"iln hotel, ",,,,,
unk,,"unk, ",,,,,
found in street,,"found in street, ",,,,,
in street,close to below next,"in street, close to below next",,,,,
prost murder,found in lot,"prost murder, found in lot",,,,,
in street,,"in street, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
gang many shot,,"gang many shot, ",,,,,
driveby,had masks,"driveby, had masks",,,,,
street confront,,"street confront, ",,,,,
gang,,"gang, ",,,,,
gang,was this a double?,"gang, was this a double?",,,,,
street,,"street, ",,,,,
by Nortenos?,,"by Nortenos?, ",,,,,
arson fire,,"arson fire, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
assassianttion,suspect seen,"assassianttion, suspect seen",,,,,
,,", ",Unclassified,,,,
unknown,,"unknown, ",Unclassified,,,,
aargument,found in street,"aargument, found in street",,,,,
mercy kill Gay?,AIDs patient,"mercy kill Gay?, AIDs patient",,,,,
from auto gang?,"hey putos""","from auto gang?, hey putos""",,,,,
land tenant,kills landlord,"land tenant, kills landlord",,,,,
street confrotn,,"street confrotn, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
acquaintance,in street,"acquaintance, in street",,,,,
found in street,,"found in street, ",,,,,
refuse loan,gambling,"refuse loan, gambling",,,,,
refuse loan,gamblilng,"refuse loan, gamblilng",,,,,
not known,,"not known, ",,,,,
shot by four,,"shot by four, ",,,,,
slashed,found in street,"slashed, found in street",,,,,
narcotic deal,deal gone bad,"narcotic deal, deal gone bad",,,,,
argument,,"argument, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
found on sidewal,,"found on sidewal, ",,,,,
gay? unknown,struggle in house,"gay? unknown, struggle in house",,,,,
in business rob?,,"in business rob?, ",,,,,
sus 801,boyfriend,"sus 801, boyfriend",,,,,
fite at ball game,,"fite at ball game, ",,,,,
shot in car,,"shot in car, ",,,,,
gang related,met in gas stat,"gang related, met in gas stat",,,,,
gang,defenestrated,"gang, defenestrated",,,,,
,,", ",Unclassified,,,,
fight in club,,"fight in club, ",,,,,
shot in street,,"shot in street, ",,,,,
found in hall,,"found in hall, ",,,,,
prostitute beef,,"prostitute beef, ",,,,,
kicked in street,,"kicked in street, ",,,,,
,,", ",Unclassified,,,,
in van,,"in van, ",,,,,
found projects,,"found projects, ",,,,,
vic jumped?,says m,"vic jumped?, says m",,,,,
gang saloonloon,,"gang saloonloon, ",,,Saloon,,
shot in park,,"shot in park, ",,,,,
shot in park,,"shot in park, ",,,,,
revenge?,,"revenge?, ",,,,,
parking,,"parking, ",,,,,
beef re sister,,"beef re sister, ",,,,,
fight,,"fight, ",,,,,
sus 801,mercy?,"sus 801, mercy?",,,,,
making call,in projects,"making call, in projects",,,,,
found in street,,"found in street, ",,,,,
3rd part to argu,,"3rd part to argu, ",,,,,
by guy on bike,,"by guy on bike, ",,,,,
confront with,young men,"confront with, young men",,,,,
verbal exchange,,"verbal exchange, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
found in street,,"found in street, ",,,,,
unknown,,"unknown, ",Unclassified,,,,
in street,,"in street, ",,,,,
found in car,,"found in car, ",,,,,
gang enter auto,,"gang enter auto, ",,,,,
over girlfriend,,"over girlfriend, ",,,,,
in auto,,"in auto, ",,,,,
sus 801,,"sus 801, ",,,,,
witnes saw 5,,"witnes saw 5, ",,,,,
Sus 801,,"Sus 801, ",,,,,
shot in house,,"shot in house, ",,,,,
lying in walkway,,"lying in walkway, ",,,,,
in bus shelter,,"in bus shelter, ",,,,,
shot on corner,other vics,"shot on corner, other vics",,,,,
gang run down,,"gang run down, ",,,,,
assassnation,,"assassnation, ",,,,,
gang,,"gang, ",,,,,
driven to hosp,,"driven to hosp, ",,,,,
coma 3 years,,"coma 3 years, ",,,,,
arson,,"arson, ",,,,,
strangle in  room,,"strangle in  room, ",,,,,
,,", ",Unclassified,,,,
shot brutal tenant,,"shot brutal tenant, ",,,,,
shot in car,,"shot in car, ",,,,,
gang exchange,,"gang exchange, ",,,,,
found in doorwa,,"found in doorwa, ",,,,,
in street,,"in street, ",,,,,
in gas station,,"in gas station, ",,,,,
in vehicle,,"in vehicle, ",,,,,
confronts intruder,,"confronts intruder, ",,,,,
Bob shot tenant,,"Bob shot tenant, ",,,,,
housing hallway,,"housing hallway, ",,,,,
bound in apt,,"bound in apt, ",,,,,
shot in apt,,"shot in apt, ",,,,,
s. left in truck,,"s. left in truck, ",,,,,
poss revenge,,"poss revenge, ",,,,,
found in bushes,,"found in bushes, ",,,,,
seen do it,,"seen do it, ",,,,,
years later yes,,"years later yes, ",,,,,
gang related,,"gang related, ",,,,,
entered and shot,2 others wounded,"entered and shot, 2 others wounded",,,,,
st sweep shot,,"st sweep shot, ",,,,,
gang,,"gang, ",,,,,
by drug seller,,"by drug seller, ",,,,,
dispute,went and got gun,"dispute, went and got gun",,,,,
fight lost,sus seen but?,"fight lost, sus seen but?",,,,,
drug deal,,"drug deal, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
,from m/cycle,", from m/cycle",,,,,
cominf out cafe,,"cominf out cafe, ",,,,,
may be drugs,in projects,"may be drugs, in projects",,,,,
argument re nois,,"argument re nois, ",,,,,
in Park,,"in Park, ",,,,,
,foundin tunnel,", foundin tunnel",,,,,
unknown,,"unknown, ",Unclassified,,,,
heard shots,,"heard shots, ",,,,,
fellow workers,restaurant,"fellow workers, restaurant",,,,,
found in car,,"found in car, ",,,,,
boy girl friend,on crack,"boy girl friend, on crack",,,,,
shot in store,suspect seen,"shot in store, suspect seen",,,,,
patron cuts bounc,bouncer,"patron cuts bounc, bouncer",,,,,
gang Emob,,"gang Emob, ",,,,,
sleeper killed,,"sleeper killed, ",,,,,
street assault,,"street assault, ",,,,,
shot from m/cyle,,"shot from m/cyle, ",,,,,
gang deal,,"gang deal, ",,,,,
shot in street,,"shot in street, ",,,,,
under mattress,in burning house,"under mattress, in burning house",,,,,
in street,,"in street, ",,,,,
jail killing,,"jail killing, ",,,,,
street,,"street, ",,,,,
street,,"street, ",,,,,
,,", ",Unclassified,,,,
decomposed,shot twice,"decomposed, shot twice",,,,,
drug argu,,"drug argu, ",,,,,
boy girl friend,,"boy girl friend, ",,,,,
sleep in street,fled in car,"sleep in street, fled in car",,,,,
decomposed,,"decomposed, ",,,,,
in fight,,"in fight, ",,,,,
two groups fite,,"two groups fite, ",,,,,
caught in crosfire,,"caught in crosfire, ",,,,,
groups in lot,,"groups in lot, ",,,,,
landlord tenant,,"landlord tenant, ",,,,,
cab found oceanv,,"cab found oceanv, ",,,,,
stab in street,suspect seen,"stab in street, suspect seen",,,,,
found in lot,,"found in lot, ",,,,,
dispute,,"dispute, ",,,,,
gang activity,,"gang activity, ",,,,,
hard look on corn,,"hard look on corn, ",,,,,
found in street,,"found in street, ",,,,,
gang in front of store,,"gang in front of store, ",,,,,
sus 801,previous domes,"sus 801, previous domes",,,,,
outside club,fem insulted,"outside club, fem insulted",,,,,
loud music,,"loud music, ",,,,,
fite in car,,"fite in car, ",,,,,
gang in car,,"gang in car, ",,,,,
in street,coup de grace,"in street, coup de grace",,,,,
gang in arcade,must have seen,"gang in arcade, must have seen",,,,,
fight,,"fight, ",,,,,
gang maybe,,"gang maybe, ",,,,,
Gang bystander shot gang,2 convicted Chron 10/16/01,"Gang bystander shot gang, 2 convicted Chron 10/16/01",,,,,
sus 801 att.,,"sus 801 att., ",,,,,
in car in lot,,"in car in lot, ",,,,,
sus seen running,,"sus seen running, ",,,,,
drunk argue,,"drunk argue, ",,,,,
good samartin,,"good samartin, ",,,,,
,13 stabs,", 13 stabs",,,,,
standin on corner,,"standin on corner, ",,,,,
 in burn car crash,stabbed several," in burn car crash, stabbed several",,,,,
in front of store,by ski mask,"in front of store, by ski mask",,,,,
but seen,,"but seen, ",,,,,
halfway house,keeper killed,"halfway house, keeper killed",,,,,
poss gang,,"poss gang, ",,,,,
over money,,"over money, ",,,,,
,,", ",Unclassified,,,,
arson,,"arson, ",,,,,
gang in car,car sped off,"gang in car, car sped off",,,,,
standing in street,,"standing in street, ",,,,,
found in truck,,"found in truck, ",,,,,
gay?,by guest?,"gay?, by guest?",,,,,
,bound,", bound",,,,,
burning bed,,"burning bed, ",,,,,
shot in apt,,"shot in apt, ",,,,,
found in car,part disrobed,"found in car, part disrobed",,,,,
run over in fight,bet groups,"run over in fight, bet groups",,,,,
gang fight,,"gang fight, ",,,,,
found in street,,"found in street, ",,,,,
possible drug,,"possible drug, ",,,,,
found in apt, throat cut,"found in apt,  throat cut",,,,,
found in car,,"found in car, ",,,,,
,,", ",Unclassified,,,,
Sunnydale found,,"Sunnydale found, ",,,,,
fight,,"fight, ",,,,,
beaten by M andf,,"beaten by M andf, ",,,,,
v had whit powder,v. had gun,"v had whit powder, v. had gun",,,,,
doorman killed,by drunks,"doorman killed, by drunks",,,,,
standin on corne,,"standin on corne, ",,,,,
boy girl friend,girl bartender,"boy girl friend, girl bartender",,,,,
sus 801,s. bixexual,"sus 801, s. bixexual",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
broke in house,to assault,"broke in house, to assault",,,,,
in shower,panties down,"in shower, panties down",,,,,
had words bycar,,"had words bycar, ",,,,,
seen leaving,,"seen leaving, ",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
shots heard,,"shots heard, ",,,,,
triangle,,"triangle, ",,,,,
run down and shot,,"run down and shot, ",,,,,
mutual dom abus,,"mutual dom abus, ",,,,,
dispute inbusines,,"dispute inbusines, ",,,,,
shot from van,,"shot from van, ",,,,,
killed by 459,,"killed by 459, ",,,,,
parracide,,"parracide, ",,,,,
old lady in bed,,"old lady in bed, ",,,,,
,,", ",Unclassified,,,,
left home and sho,,"left home and sho, ",,,,,
approached by group,,"approached by group, ",,,,,
found on ground,,"found on ground, ",,,,,
killed by cabbie,,"killed by cabbie, ",,,,,
,,", ",Unclassified,,,,
sitting in car,,"sitting in car, ",,,,,
going int apt,,"going int apt, ",,,,,
dies at scene,,"dies at scene, ",,,,,
gay sex,,"gay sex, ",,,,,
gang? Saloon,,"gang? Saloon, ",,,Saloon,,
poss robb gay?,,"poss robb gay?, ",,,,,
street,,"street, ",,,,,
,,", ",Unclassified,,,,
return from stor,24th Harrison,"return from stor, 24th Harrison",,,,,
kills old man,after arguw mom,"kills old man, after arguw mom",,,,,
poss drug deal,,"poss drug deal, ",,,,,
unk saw em,,"unk saw em, ",,,,,
 front of store,people saw em," front of store, people saw em",,,,,
Gang in street,,"Gang in street, ",,,,,
drunk attacks,no reason,"drunk attacks, no reason",,,,,
shot while sleeping,,"shot while sleeping, ",,,,,
gang,,"gang, ",,,,,
,,", ",Unclassified,,,,
saloon 86ed,rets shoots,"saloon 86ed, rets shoots",,,Saloon,,
verbal argument,,"verbal argument, ",,,,,
,,", ",Unclassified,,,,
parking dispute,,"parking dispute, ",,,,,
 gang,took back pack," gang, took back pack",,,,,
sitting in auto,sus seen,"sitting in auto, sus seen",,,,,
gay bound,ads for sex net,"gay bound, ads for sex net",,,,,
ousted burns,hotel,"ousted burns, hotel",,,,,
sus 801,,"sus 801, ",,,,,
sus 801,,"sus 801, ",,,,,
Sus 801,,"Sus 801, ",,,,,
,,", ",Unclassified,,,,
parracide,,"parracide, ",,,,,
,,", ",Unclassified,,,,
unprovoked,,"unprovoked, ",,,,,
,fled on foot,", fled on foot",,,,,
in burned car,two bullets,"in burned car, two bullets",,,,,
on ground,,"on ground, ",,,,,
sus 801,fitting end,"sus 801, fitting end",,,,,
in street,,"in street, ",,,,,
,,", ",Unclassified,,,,
shot in whe chair,suspect seen,"shot in whe chair, suspect seen",,,,,
business,checking alarm,"business, checking alarm",,,,,
,,", ",Unclassified,,,,
drunk beef,,"drunk beef, ",,,,,
car hists tree,found dead,"car hists tree, found dead",,,,,
,,", ",Unclassified,,,,
street argument,four years,"street argument, four years",,,,,
in motel,checke in w/sus,"in motel, checke in w/sus",,,,,
during drug deal,by third party,"during drug deal, by third party",,,,,
,,", ",Unclassified,,,,
Drives to Hall,shot elsewhere,"Drives to Hall, shot elsewhere",,,,,
kills old boss,in restaurant,"kills old boss, in restaurant",,,,,
fight at rap party,guilty vol mans,"fight at rap party, guilty vol mans",,,,,
gang,v. Sur Trece,"gang, v. Sur Trece",,,,,
taken to SFGH,,"taken to SFGH, ",,,,,
fishing,shot from car,"fishing, shot from car",,,,,
on street in group,approached and shot,"on street in group, approached and shot",,,,,
snitch,written on door,"snitch, written on door",,,,,
meth pscho episode,mutilate,"meth pscho episode, mutilate",,,,,
shot in street,maybe drugs?,"shot in street, maybe drugs?",,,,,
argu over money?,vics girl owed,"argu over money?, vics girl owed",,,,,
retaliation? Gang,drive by,"retaliation? Gang, drive by",,,,,
retaliation?Gang?,drive by,"retaliation?Gang?, drive by",,,,,
street argument,v. had cut,"street argument, v. had cut",,,,,
in room,well being check,"in room, well being check",,,,,
,,", ",Unclassified,,,,
found in trunk,reprt missing,"found in trunk, reprt missing",,,,,
arson,found in fire,"arson, found in fire",,,,,
arson,,"arson, ",,,,,
shot in street,nobody saw nuttin',"shot in street, nobody saw nuttin'",,,,,
run down and shot,,"run down and shot, ",,,,,
gang surenos + nortenos,gang fight,"gang surenos + nortenos, gang fight",,,,,
shot in car,,"shot in car, ",,,,,
,,", ",Unclassified,,,,
gay?,body in tub,"gay?, body in tub",,,,,
,,", ",Unclassified,,,,
gang,fight dupe,"gang, fight dupe",,,,,
gang,fight dupe,"gang, fight dupe",,,,,
found shot in car,,"found shot in car, ",,,,,
,,", ",Unclassified,,,,
shot in car gang,,"shot in car gang, ",,,,,
shot while moving,,"shot while moving, ",,,,,
shot in driveway,ided but no witness came forward,"shot in driveway, ided but no witness came forward",,,,,
after fight,,"after fight, ",,,,,
burglary?,girl friend found,"burglary?, girl friend found",,,,,
,,", ",Unclassified,,,,
from auto -gang?,,"from auto -gang?, ",,,,,
burglars,but seen by vic 2,"burglars, but seen by vic 2",,,,,
pursued in car,,"pursued in car, ",,,,,
from auto,,"from auto, ",,,,,
Child abuse,boyfriend of mom,"Child abuse, boyfriend of mom",,,,,
fight in restaurant,Two groups,"fight in restaurant, Two groups",,,,,
boy friend,,"boy friend, ",,,,,
,,", ",Unclassified,,,,
3 on 1 reprisal,got wrong guy,"3 on 1 reprisal, got wrong guy",,,,,
drive by,died in 518,"drive by, died in 518",,,,,
drive by,died in 518,"drive by, died in 518",,,,,
reprisal?,,"reprisal?, ",,,,,
arson,probavly viet?,"arson, probavly viet?",,,,,
drive by,,"drive by, ",,,,,
drive by,,"drive by, ",,,,,
dispute in pkg. Lot,,"dispute in pkg. Lot, ",,,,,
mother drowned,,"mother drowned, ",,,,,
argument,,"argument, ",,,,,
shot in car gang,driving along,"shot in car gang, driving along",,,,,
s says v. started it,DA refuses to file,"s says v. started it, DA refuses to file",,,,,
shot in car gang,driving along,"shot in car gang, driving along",,,,,
in club fight,2 others cut,"in club fight, 2 others cut",,,,,
shot on sidewalk,Id but no corrob.,"shot on sidewalk, Id but no corrob.",,,,,
girl fight,outside bar,"girl fight, outside bar",,,,,
shot in back,sus caught running,"shot in back, sus caught running",,,,,
fist fight,,"fist fight, ",,,,,
argument gang,vic looks old man,"argument gang, vic looks old man",,,,,
gang basket b cout,ran him down,"gang basket b cout, ran him down",,,,,
gang from car,s car burned,"gang from car, s car burned",,,,,
fight bet families,,"fight bet families, ",,,,,
over crack?,"v, cut sus?","over crack?, v, cut sus?",,,,,
,,", ",Unclassified,,,,
kicks old lady' walker,,"kicks old lady' walker, ",,,,,
gang,,"gang, ",,,,,
in front of Atm,homeless vic,"in front of Atm, homeless vic",,,,,
in gang gunfight,3rd party vic,"in gang gunfight, 3rd party vic",,,,,
,,", ",Unclassified,,,,
,,", ",Unclassified,,,,
standing at bus stop,Id but witness no say,"standing at bus stop, Id but witness no say",,,,,
gang  sitting w dad,outside McDonalds,"gang  sitting w dad, outside McDonalds",,,,,
in street,hits and falls,"in street, hits and falls",,,,,
found in street,,"found in street, ",,,,,
argument,,"argument, ",,,,,
shot in car,sus running away,"shot in car, sus running away",,,,,
arguemnt,almost identical names?,"arguemnt, almost identical names?",,,,,
walked up and stabbed,leftin red car,"walked up and stabbed, leftin red car",,,,,
dead in street,,"dead in street, ",,,,,
found in room,stabbed,"found in room, stabbed",,,,,
gang,,"gang, ",,,,,
,,", ",Unclassified,,,,
